,miRNA,ceRNA,species,database,type
1266,hsa-let-7-5p/98-5p,NIPA1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1267,hsa-let-7-5p/98-5p,NIPAL4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1268,hsa-let-7-5p/98-5p,NKAP,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1269,hsa-let-7-5p/98-5p,NKD1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1270,hsa-let-7-5p/98-5p,NKIRAS2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1271,hsa-let-7-5p/98-5p,NLK,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1272,hsa-let-7-5p/98-5p,NLN,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1273,hsa-let-7-5p/98-5p,NME4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1274,hsa-let-7-5p/98-5p,NME6,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1275,hsa-let-7-5p/98-5p,NNT,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1276,hsa-let-7-5p/98-5p,NOS1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1277,hsa-let-7-5p/98-5p,NOVA1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1278,hsa-let-7-5p/98-5p,NPEPL1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1279,hsa-let-7-5p/98-5p,NR6A1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1280,hsa-let-7-5p/98-5p,NRAS,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1281,hsa-let-7-5p/98-5p,NRK,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1282,hsa-let-7-5p/98-5p,NSD1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1283,hsa-let-7-5p/98-5p,NSMCE2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1284,hsa-let-7-5p/98-5p,NTN1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1285,hsa-let-7-5p/98-5p,NUMBL,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1286,hsa-let-7-5p/98-5p,NUP155,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1287,hsa-let-7-5p/98-5p,NXT2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1288,hsa-let-7-5p/98-5p,NYNRIN,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1289,hsa-let-7-5p/98-5p,OLR1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1290,hsa-let-7-5p/98-5p,ONECUT1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1291,hsa-let-7-5p/98-5p,ONECUT2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1292,hsa-let-7-5p/98-5p,ONECUT3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1293,hsa-let-7-5p/98-5p,OSBPL3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1294,hsa-let-7-5p/98-5p,OSMR,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1295,hsa-let-7-5p/98-5p,OSTF1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1296,hsa-let-7-5p/98-5p,OTOF,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1297,hsa-let-7-5p/98-5p,OTUB2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1298,hsa-let-7-5p/98-5p,OTUD3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1299,hsa-let-7-5p/98-5p,P2RX1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1300,hsa-let-7-5p/98-5p,P4HA2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1301,hsa-let-7-5p/98-5p,PACS2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1302,hsa-let-7-5p/98-5p,PAG1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1303,hsa-let-7-5p/98-5p,PAK1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1304,hsa-let-7-5p/98-5p,PALD1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1305,hsa-let-7-5p/98-5p,PALM3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1306,hsa-let-7-5p/98-5p,PANX2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1307,hsa-let-7-5p/98-5p,PAPPA,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1308,hsa-let-7-5p/98-5p,PARD6B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1309,hsa-let-7-5p/98-5p,PARM1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1310,hsa-let-7-5p/98-5p,PARP8,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1311,hsa-let-7-5p/98-5p,PAWR,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1312,hsa-let-7-5p/98-5p,PAX2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1313,hsa-let-7-5p/98-5p,PAX3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1314,hsa-let-7-5p/98-5p,PBX1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1315,hsa-let-7-5p/98-5p,PBX2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1316,hsa-let-7-5p/98-5p,PBX3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1317,hsa-let-7-5p/98-5p,PCDH19,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1318,hsa-let-7-5p/98-5p,PCDH20,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1319,hsa-let-7-5p/98-5p,PCGF3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1320,hsa-let-7-5p/98-5p,PCTP,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1321,hsa-let-7-5p/98-5p,PCYOX1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1322,hsa-let-7-5p/98-5p,PCYT1B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1323,hsa-let-7-5p/98-5p,PDE12,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1324,hsa-let-7-5p/98-5p,PDGFB,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1325,hsa-let-7-5p/98-5p,PDHB,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1326,hsa-let-7-5p/98-5p,PDP2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1327,hsa-let-7-5p/98-5p,PDPR,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1328,hsa-let-7-5p/98-5p,PDSS1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1329,hsa-let-7-5p/98-5p,PDZD8,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1330,hsa-let-7-5p/98-5p,PEG10,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1331,hsa-let-7-5p/98-5p,PEX11B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1332,hsa-let-7-5p/98-5p,PGM2L1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1333,hsa-let-7-5p/98-5p,PGRMC1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1334,hsa-let-7-5p/98-5p,PHACTR2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1335,hsa-let-7-5p/98-5p,PHF8,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1336,hsa-let-7-5p/98-5p,PI4K2B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1337,hsa-let-7-5p/98-5p,PIAS4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1338,hsa-let-7-5p/98-5p,PIGA,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1339,hsa-let-7-5p/98-5p,PIGU,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1340,hsa-let-7-5p/98-5p,PIK3CA,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1341,hsa-let-7-5p/98-5p,PIK3IP1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1342,hsa-let-7-5p/98-5p,PITPNM3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1343,hsa-let-7-5p/98-5p,PKIA,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1344,hsa-let-7-5p/98-5p,PKN2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1345,hsa-let-7-5p/98-5p,PLA2G15,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1346,hsa-let-7-5p/98-5p,PLA2G3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1347,hsa-let-7-5p/98-5p,PLAGL2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1348,hsa-let-7-5p/98-5p,PLCXD3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1349,hsa-let-7-5p/98-5p,PLD3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1350,hsa-let-7-5p/98-5p,PLD5,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1351,hsa-let-7-5p/98-5p,PLEKHA3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1352,hsa-let-7-5p/98-5p,PLEKHA8,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1353,hsa-let-7-5p/98-5p,PLEKHG7,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1354,hsa-let-7-5p/98-5p,PLEKHH1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1355,hsa-let-7-5p/98-5p,PLEKHO1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1356,hsa-let-7-5p/98-5p,PLXNA2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1357,hsa-let-7-5p/98-5p,PLXNA4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1358,hsa-let-7-5p/98-5p,PLXNC1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1359,hsa-let-7-5p/98-5p,PLXND1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1360,hsa-let-7-5p/98-5p,PMAIP1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1361,hsa-let-7-5p/98-5p,POC1B-GALNT4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1362,hsa-let-7-5p/98-5p,POGLUT1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1363,hsa-let-7-5p/98-5p,POGZ,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1364,hsa-let-7-5p/98-5p,POLR2D,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1365,hsa-let-7-5p/98-5p,POLR3D,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1366,hsa-let-7-5p/98-5p,POTEE,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1367,hsa-let-7-5p/98-5p,POTEG,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1368,hsa-let-7-5p/98-5p,POTEM,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1369,hsa-let-7-5p/98-5p,POU2F1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1370,hsa-let-7-5p/98-5p,POU6F2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1371,hsa-let-7-5p/98-5p,PPAPDC2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1372,hsa-let-7-5p/98-5p,PPARGC1A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1373,hsa-let-7-5p/98-5p,PPARGC1B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1374,hsa-let-7-5p/98-5p,PPP1R12B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1375,hsa-let-7-5p/98-5p,PPP1R15B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1376,hsa-let-7-5p/98-5p,PPP1R16B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1377,hsa-let-7-5p/98-5p,PPP2R2A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1378,hsa-let-7-5p/98-5p,PPP3CA,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1379,hsa-let-7-5p/98-5p,PPTC7,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1380,hsa-let-7-5p/98-5p,PQLC2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1381,hsa-let-7-5p/98-5p,PRDM1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1382,hsa-let-7-5p/98-5p,PRDM5,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1383,hsa-let-7-5p/98-5p,PRKAA2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1384,hsa-let-7-5p/98-5p,PRKAB2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1385,hsa-let-7-5p/98-5p,PRKAR2A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1386,hsa-let-7-5p/98-5p,PRLR,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1387,hsa-let-7-5p/98-5p,PRPF38B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1388,hsa-let-7-5p/98-5p,PRR14L,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1389,hsa-let-7-5p/98-5p,PRR18,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1390,hsa-let-7-5p/98-5p,PRRX1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1391,hsa-let-7-5p/98-5p,PRSS22,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1392,hsa-let-7-5p/98-5p,PSENEN,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1393,hsa-let-7-5p/98-5p,PSORS1C2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1394,hsa-let-7-5p/98-5p,PTAFR,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1395,hsa-let-7-5p/98-5p,PTAR1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1396,hsa-let-7-5p/98-5p,PTPRD,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1397,hsa-let-7-5p/98-5p,PTPRU,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1398,hsa-let-7-5p/98-5p,PURB,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1399,hsa-let-7-5p/98-5p,PXDN,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1400,hsa-let-7-5p/98-5p,PXMP4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1401,hsa-let-7-5p/98-5p,PXT1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1402,hsa-let-7-5p/98-5p,PYGO2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1403,hsa-let-7-5p/98-5p,QARS,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1404,hsa-let-7-5p/98-5p,RAB11FIP4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1405,hsa-let-7-5p/98-5p,RAB15,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1406,hsa-let-7-5p/98-5p,RAB22A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1407,hsa-let-7-5p/98-5p,RAB30,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1408,hsa-let-7-5p/98-5p,RAB3GAP2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1409,hsa-let-7-5p/98-5p,RAB40C,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1410,hsa-let-7-5p/98-5p,RAB8B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1411,hsa-let-7-5p/98-5p,RADIL,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1412,hsa-let-7-5p/98-5p,RAG1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1413,hsa-let-7-5p/98-5p,RALB,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1414,hsa-let-7-5p/98-5p,RALGPS1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1415,hsa-let-7-5p/98-5p,RANBP2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1416,hsa-let-7-5p/98-5p,RASGRP1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1417,hsa-let-7-5p/98-5p,RASL10A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1418,hsa-let-7-5p/98-5p,RASL10B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1419,hsa-let-7-5p/98-5p,RAVER2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1420,hsa-let-7-5p/98-5p,RB1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1421,hsa-let-7-5p/98-5p,RBFOX1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1422,hsa-let-7-5p/98-5p,RBFOX2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1423,hsa-let-7-5p/98-5p,RBM38,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1424,hsa-let-7-5p/98-5p,RBMS1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1425,hsa-let-7-5p/98-5p,RBMS2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1426,hsa-let-7-5p/98-5p,RBPJ,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1427,hsa-let-7-5p/98-5p,RCN1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1428,hsa-let-7-5p/98-5p,RCSD1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1429,hsa-let-7-5p/98-5p,RDH10,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1430,hsa-let-7-5p/98-5p,RDX,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1431,hsa-let-7-5p/98-5p,REEP1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1432,hsa-let-7-5p/98-5p,REL,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1433,hsa-let-7-5p/98-5p,RFX6,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1434,hsa-let-7-5p/98-5p,RGAG1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1435,hsa-let-7-5p/98-5p,RGMA,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1436,hsa-let-7-5p/98-5p,RGS16,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1437,hsa-let-7-5p/98-5p,RGS17,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1438,hsa-let-7-5p/98-5p,RICTOR,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1439,hsa-let-7-5p/98-5p,RIMKLA,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1440,hsa-let-7-5p/98-5p,RIMS3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1441,hsa-let-7-5p/98-5p,RIOK3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1442,hsa-let-7-5p/98-5p,RNF152,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1443,hsa-let-7-5p/98-5p,RNF165,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1444,hsa-let-7-5p/98-5p,RNF170,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1445,hsa-let-7-5p/98-5p,RNF20,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1446,hsa-let-7-5p/98-5p,RNF217,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1447,hsa-let-7-5p/98-5p,RNF38,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1448,hsa-let-7-5p/98-5p,RNF44,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1449,hsa-let-7-5p/98-5p,RNF7,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1450,hsa-let-7-5p/98-5p,RNFT1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1451,hsa-let-7-5p/98-5p,ROBO1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1452,hsa-let-7-5p/98-5p,RORC,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1453,hsa-let-7-5p/98-5p,RP1-170O19.20,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1454,hsa-let-7-5p/98-5p,RP11-480I12.4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1455,hsa-let-7-5p/98-5p,RP11-766F14.2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1456,hsa-let-7-5p/98-5p,RPS6KA3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1457,hsa-let-7-5p/98-5p,RPUSD2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1458,hsa-let-7-5p/98-5p,RRAGD,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1459,hsa-let-7-5p/98-5p,RRM2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1460,hsa-let-7-5p/98-5p,RRP1B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1461,hsa-let-7-5p/98-5p,RSF1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1462,hsa-let-7-5p/98-5p,RSPO2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1463,hsa-let-7-5p/98-5p,RTCA,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1464,hsa-let-7-5p/98-5p,RUFY3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1465,hsa-let-7-5p/98-5p,RUNX1T1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1466,hsa-let-7-5p/98-5p,S100A8,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1467,hsa-let-7-5p/98-5p,SALL3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1468,hsa-let-7-5p/98-5p,SALL4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1469,hsa-let-7-5p/98-5p,SAMD12,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1470,hsa-let-7-5p/98-5p,SAP30L,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1471,hsa-let-7-5p/98-5p,SBK1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1472,hsa-let-7-5p/98-5p,SBNO1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1473,hsa-let-7-5p/98-5p,SCARA3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1474,hsa-let-7-5p/98-5p,SCD,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1475,hsa-let-7-5p/98-5p,SCN11A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1476,hsa-let-7-5p/98-5p,SCN4B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1477,hsa-let-7-5p/98-5p,SCN5A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1478,hsa-let-7-5p/98-5p,SCN8A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1479,hsa-let-7-5p/98-5p,SCRT2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1480,hsa-let-7-5p/98-5p,SCUBE3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1481,hsa-let-7-5p/98-5p,SCYL3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1482,hsa-let-7-5p/98-5p,SDK1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1483,hsa-let-7-5p/98-5p,SEC14L1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1484,hsa-let-7-5p/98-5p,SEC14L5,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1485,hsa-let-7-5p/98-5p,SEC16B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1486,hsa-let-7-5p/98-5p,SEC31B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1487,hsa-let-7-5p/98-5p,SECISBP2L,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1488,hsa-let-7-5p/98-5p,SEMA4C,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1489,hsa-let-7-5p/98-5p,SEMA4F,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1490,hsa-let-7-5p/98-5p,SEMA4G,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1491,hsa-let-7-5p/98-5p,SENP2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1492,hsa-let-7-5p/98-5p,SENP5,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1493,hsa-let-7-5p/98-5p,SESN3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1494,hsa-let-7-5p/98-5p,SESTD1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1495,hsa-let-7-5p/98-5p,SFMBT1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1496,hsa-let-7-5p/98-5p,SFT2D3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1497,hsa-let-7-5p/98-5p,SH2B3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1498,hsa-let-7-5p/98-5p,SH3RF3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1499,hsa-let-7-5p/98-5p,SKIDA1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1500,hsa-let-7-5p/98-5p,SKIL,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1501,hsa-let-7-5p/98-5p,SLC10A6,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1502,hsa-let-7-5p/98-5p,SLC10A7,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1503,hsa-let-7-5p/98-5p,SLC12A9,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1504,hsa-let-7-5p/98-5p,SLC16A10,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1505,hsa-let-7-5p/98-5p,SLC16A14,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1506,hsa-let-7-5p/98-5p,SLC16A9,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1507,hsa-let-7-5p/98-5p,SLC1A4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1508,hsa-let-7-5p/98-5p,SLC20A1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1509,hsa-let-7-5p/98-5p,SLC22A23,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1510,hsa-let-7-5p/98-5p,SLC25A18,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1511,hsa-let-7-5p/98-5p,SLC25A24,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1512,hsa-let-7-5p/98-5p,SLC25A27,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1513,hsa-let-7-5p/98-5p,SLC25A32,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1514,hsa-let-7-5p/98-5p,SLC25A4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1515,hsa-let-7-5p/98-5p,SLC26A9,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1516,hsa-let-7-5p/98-5p,SLC2A12,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1517,hsa-let-7-5p/98-5p,SLC30A1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1518,hsa-let-7-5p/98-5p,SLC30A4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
